Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
TDVI,1555,0,0.00,40,24.00,24.55,1554,1
SMDV,1537,0,0.00,0,0.00,74.89,1537,0
POCT,1530,0,0.00,0,0.00,39.84,1530,0
PRNT,1525,5,22.90,15,21.50,21.50,1525,0
CLSE,1524,20,23.60,10,23.26,23.55,1524,0
PJUN,1500,0,0.00,0,0.00,37.68,1500,0
RBUF,1500,0,0.00,0,0.00,27.22,1500,0
SMAY,1500,0,0.00,0,0.00,25.69,1500,0
SNAV,1498,0,0.00,0,0.00,32.17,1498,0
OUSA,1463,0,0.00,10,54.00,55.51,1273,190
EMTL,1429,0,0.00,0,0.00,42.83,1429,0
CEFS,1418,2394,22.61,3,22.18,22.46,1418,0
UJUL,1417,0,0.00,0,0.00,34.87,1417,0
IGLD,1378,2,21.77,0,0.00,20.77,1378,0
PJUL,1359,0,0.00,0,0.00,41.50,1359,0
XUSP,1357,0,0.00,0,0.00,42.00,1357,0
XJH,1355,0,0.00,0,0.00,45.54,1355,0
TLTP,1321,0,0.00,500,24.71,25.12,1321,0
INTL,1305,5,22.92,0,0.00,22.78,1305,0
ETU,1292,5,52.50,0,0.00,46.93,1292,0
OSCV,1273,0,0.00,0,0.00,40.66,1273,0
EDEN,1245,0,0.00,1,101.00,114.26,1245,0
GARP,1233,0,0.00,0,0.00,56.07,1233,0
MYLD,1214,0,0.00,0,0.00,28.19,1214,0
TMAT,1211,0,0.00,0,0.00,21.89,1211,0
ARKD,1206,0,0.00,49,36.00,53.75,1206,0
ACIO,1203,0,0.00,0,0.00,41.11,1203,0
EVUS,1200,0,0.00,0,0.00,31.09,1200,0
GSEP,1200,0,0.00,0,0.00,35.31,1200,0
TYLD,1198,0,0.00,0,0.00,25.35,1198,0
IBHJ,1177,0,0.00,0,0.00,26.67,1177,0
HYBL,1160,0,0.00,1000,28.50,28.72,1160,0
FLIA,1144,0,0.00,0,0.00,20.93,1144,0
SEIM,1107,0,0.00,0,0.00,40.42,1107,0
SNOV,1104,0,0.00,0,0.00,23.97,1104,0
NAPR,1103,0,0.00,0,0.00,50.13,1103,0
IBMR,1092,0,0.00,0,0.00,25.26,1092,0
VFVA,1091,0,0.00,3,105.00,128.92,1091,0
HFGO,1061,0,0.00,0,0.00,23.31,1061,0
EFNL,1050,0,0.00,0,0.00,33.40,1050,0
PAWZ,1041,0,0.00,1,55.71,56.85,1041,0
FDND,1037,0,0.00,5,17.21,22.38,1037,0
GVAL,1035,50,23.00,1000,20.75,21.06,1035,0
ZVOL,1015,20,20.71,100,20.70,20.74,915,100
YMAR,1013,0,0.00,0,0.00,23.16,1013,0
ATMP,1000,0,0.00,0,0.00,30.37,959,41
FRNW,978,0,0.00,0,0.00,14.79,978,0
TOKE,969,1,6.00,50,5.50,5.52,969,0
PBUS,968,0,0.00,1,60.57,60.60,858,110
QHY,943,1362,50.00,0,0.00,45.94,943,0
BBLB,936,0,0.00,1,77.09,88.92,936,0
XJAN,928,0,0.00,0,0.00,33.46,928,0
GAA,925,0,0.00,2000,29.00,29.29,925,0
HYHG,916,0,0.00,0,0.00,65.88,916,0
FLQL,914,0,0.00,0,0.00,60.56,914,0
DUBS,906,0,0.00,0,0.00,33.30,906,0
PSMO,906,0,0.00,0,0.00,27.88,906,0
ZECP,906,0,0.00,0,0.00,32.26,906,0
QJUN,901,0,0.00,0,0.00,27.86,901,0
FOCT,882,0,0.00,0,0.00,43.25,882,0
GEMD,880,0,0.00,0,0.00,41.31,880,0
BCHP,875,0,0.00,0,0.00,34.76,875,0
FJAN,875,0,0.00,0,0.00,45.72,875,0
FPRO,875,1,23.25,0,0.00,24.44,875,0
FCPI,862,0,0.00,0,0.00,46.46,862,0
IWMW,857,19,50.00,8,46.00,46.13,857,0
MSSS,848,0,0.00,0,0.00,29.82,848,0
VXZ,834,50,55.00,25,47.50,49.97,834,0
LQDW,827,100,27.42,199,27.05,27.41,638,189
FDEV,818,0,0.00,0,0.00,28.52,818,0
EPRF,811,0,0.00,0,0.00,19.39,811,0
UPSD,802,0,0.00,23,25.20,25.60,802,0
APOC,800,0,0.00,0,0.00,25.52,800,0
FHDG,800,0,0.00,0,0.00,30.87,800,0
IDUB,800,0,0.00,0,0.00,21.00,800,0
MOTI,792,2,33.70,0,0.00,32.42,792,0
BAMY,789,0,0.00,0,0.00,26.94,789,0
QVOY,782,0,0.00,0,0.00,28.82,782,0
SAUG,780,0,0.00,0,0.00,24.32,780,0
QCON,747,0,0.00,0,0.00,47.31,747,0
VFMV,743,0,0.00,0,0.00,127.81,743,0
WEED,742,50,33.00,80,18.88,20.26,742,0
QETH,729,5700,36.02,5700,35.64,35.80,729,0
SMAX,718,0,0.00,0,0.00,25.24,718,0
YSEP,713,0,0.00,0,0.00,21.98,713,0
FFSM,711,0,0.00,0,0.00,29.37,711,0
UAUG,707,0,0.00,0,0.00,35.79,707,0
LIMI,703,0,0.00,0,0.00,30.75,703,0
PSCX,700,0,0.00,0,0.00,27.68,700,0
UFEB,665,0,0.00,0,0.00,33.10,665,0
RULE,663,0,0.00,0,0.00,23.43,663,0
IZRL,653,15,22.11,20,21.70,21.99,653,0
IBHH,648,0,0.00,0,0.00,23.82,648,0
GOOP,647,6,29.40,0,0.00,27.94,647,0
MSMR,641,0,0.00,0,0.00,31.62,641,0
OEUR,641,0,0.00,0,0.00,29.30,552,89
TSLP,636,0,0.00,2,26.90,27.72,636,0
AOCT,614,0,0.00,0,0.00,25.01,614,0
DWLD,606,0,0.00,100,35.00,38.67,606,0
HSRT,606,0,0.00,50,34.79,39.05,606,0
GFEB,605,0,0.00,0,0.00,37.30,605,0
IBMN,604,0,0.00,0,0.00,26.66,604,0
PSDM,600,0,0.00,0,0.00,51.04,600,0
PSFO,600,0,0.00,0,0.00,29.01,600,0
QCJL,600,0,0.00,0,0.00,20.90,600,0
QTJL,600,0,0.00,0,0.00,32.35,600,0
XIMR,600,0,0.00,0,0.00,31.23,600,0
MSTB,590,0,0.00,0,0.00,35.10,590,0
DNOV,570,0,0.00,0,0.00,43.35,570,0
XBAP,569,0,0.00,0,0.00,34.06,569,0
EFAD,566,0,0.00,0,0.00,38.90,566,0
UAPR,565,0,0.00,0,0.00,31.09,565,0
NVBU,544,0,0.00,0,0.00,26.16,544,0
BLKC,541,0,0.00,5,21.00,28.40,541,0
BOCT,540,0,0.00,0,0.00,43.78,540,0
FNOV,528,0,0.00,0,0.00,48.45,528,0
UNOV,525,0,0.00,0,0.00,34.87,525,0
GDMN,522,0,0.00,2,31.14,31.68,522,0
KJAN,520,0,0.00,0,0.00,39.48,520,0
FFEB,515,0,0.00,0,0.00,49.88,515,0
EALT,513,0,0.00,0,0.00,32.94,513,0
RSBY,508,0,0.00,0,0.00,18.71,508,0
DSCF,501,8,24.24,10,22.25,23.10,501,0
IBMO,501,5,28.00,0,0.00,25.57,501,0
DECP,500,0,0.00,0,0.00,26.90,500,0
DSEP,500,0,0.00,0,0.00,40.78,500,0
TFJL,500,0,0.00,0,0.00,20.25,100,400
MAGA,499,0,0.00,0,0.00,55.15,499,0
GOLY,487,80,25.75,0,0.00,24.89,487,0
QUVU,474,0,0.00,0,0.00,27.09,474,0
WBAT,466,0,0.00,0,0.00,28.39,466,0
DAUG,462,0,0.00,0,0.00,39.99,462,0
SVAL,457,0,0.00,10,31.00,35.73,457,0
VFQY,457,3,150.80,16,129.56,149.13,457,0
PMAR,450,0,0.00,0,0.00,40.17,450,0
IGHG,449,0,0.00,0,0.00,78.02,449,0
TMFG,449,4,40.00,100,32.50,33.59,449,0
FJUL,446,0,0.00,0,0.00,49.50,446,0
GTIP,445,1,60.00,0,0.00,49.16,445,0
JUCY,442,100,23.41,100,22.88,22.98,442,0
BAMA,440,0,0.00,0,0.00,31.38,439,1
OVL,428,0,0.00,0,0.00,48.51,428,0
IBMP,427,0,0.00,25,25.00,25.33,427,0
FBCV,425,0,0.00,0,0.00,34.18,425,0
FDRV,423,4,14.00,1,12.93,13.11,423,0
GAUG,422,0,0.00,0,0.00,35.47,422,0
BSEP,416,0,0.00,0,0.00,42.26,316,100
COPA,400,0,0.00,0,0.00,25.02,400,0
HIYS,400,0,0.00,0,0.00,25.74,400,0
MSFY,398,0,0.00,100,25.00,25.71,398,0
PSEP,368,0,0.00,0,0.00,39.37,269,99
ROMO,368,0,0.00,0,0.00,32.63,368,0
OMFS,356,0,0.00,10,43.64,43.76,263,93
BGLD,355,0,0.00,0,0.00,23.07,355,0
FFOG,353,0,0.00,0,0.00,39.71,353,0
FMAR,351,0,0.00,0,0.00,43.49,351,0
EMGF,344,0,0.00,2,45.29,47.22,344,0
ENOR,343,0,0.00,0,0.00,24.18,343,0
TTAC,338,0,0.00,0,0.00,70.08,338,0
USEP,337,0,0.00,0,0.00,35.46,337,0
OCTM,334,0,0.00,0,0.00,30.57,334,0
TOLL,332,0,0.00,0,0.00,34.01,332,0
ZALT,330,0,0.00,0,0.00,29.95,330,0
BAMD,325,0,0.00,0,0.00,34.59,325,0
ARKZ,323,0,0.00,50,27.00,40.61,323,0
TMFM,322,0,0.00,0,0.00,33.20,322,0
